date,product_id,product_name,category,branch_id,branch_name,order_id,price,promotion_flag,festival_flag,holiday_flag,seasonal_index,total_sales,online_sales,offline_sales,returns_count,cpi,day_of_week,month,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2021-01-31,P001,Men_Tshirt,Male,B001,Bangalore,31,58.7,0,1,1,1.148,131.32,99.35,31.97,4.35,150.0,6,1,115.12,130.14,121.02,106.28857142857143,105.73766666666667
2021-02-01,P001,Men_Tshirt,Male,B001,Bangalore,32,58.01,0,0,0,1.153,85.67,64.81,20.86,2.64,150.64,0,2,131.32,125.05,112.25,100.66285714285713,104.85166666666667
2021-02-02,P001,Men_Tshirt,Male,B001,Bangalore,33,55.17,0,0,0,1.157,92.88,70.26,22.61,3.39,150.64,1,2,85.67,93.74,155.9,100.53999999999999,102.75099999999999
2021-02-03,P001,Men_Tshirt,Male,B001,Bangalore,34,58.21,0,0,0,1.161,85.17,64.43,20.74,4.2,150.64,2,2,92.88,93.47,75.15,99.35428571428572,103.085
2021-02-04,P001,Men_Tshirt,Male,B001,Bangalore,35,57.15,0,0,0,1.166,101.31,76.65,24.67,3.43,150.64,3,2,85.17,89.29,91.68,101.07142857142857,103.40599999999999
2021-02-05,P001,Men_Tshirt,Male,B001,Bangalore,36,56.48,0,0,0,1.17,105.8,80.04,25.76,3.47,150.64,4,2,101.31,96.03,86.06,102.46714285714286,104.06400000000001
2021-02-06,P001,Men_Tshirt,Male,B001,Bangalore,37,55.04,0,0,0,1.174,88.62,67.05,21.58,3.98,150.64,5,2,105.8,115.12,111.64,98.68142857142857,103.29666666666667
2021-02-07,P001,Men_Tshirt,Male,B001,Bangalore,38,56.66,0,0,1,1.178,123.27,93.26,30.01,3.9,150.64,6,2,88.62,131.32,100.39,97.53142857142858,104.05933333333333
2021-02-08,P001,Men_Tshirt,Male,B001,Bangalore,39,56.55,0,0,0,1.183,108.01,81.71,26.3,3.37,150.64,0,2,123.27,85.67,93.84,100.72285714285715,104.53166666666668
2021-02-09,P001,Men_Tshirt,Male,B001,Bangalore,40,58.28,0,0,0,1.187,90.93,68.79,22.14,3.16,150.64,1,2,108.01,92.88,165.65,100.44428571428571,102.041
2021-02-10,P001,Men_Tshirt,Male,B001,Bangalore,41,57.99,0,0,0,1.191,94.0,71.11,22.89,3.79,150.64,2,2,90.93,85.17,93.81,101.70571428571428,102.04733333333334
2021-02-11,P001,Men_Tshirt,Male,B001,Bangalore,42,59.53,0,0,0,1.195,85.32,64.54,20.77,3.81,150.64,3,2,94.0,101.31,106.98,99.42142857142858,101.32533333333335
